iso3,year,u5mr,dtp3,mcv1,pol3,gdp_pc,health_exp_pc,fertility,female_secondary_enrollment,basic_water,basic_sanitation,physicians_per_1000
ABW,2000,NA,NA,NA,NA,20681.023026962517,NA,1.845,91.7377166748047,95.23353621008,97.9731037869072,NA
ABW,2001,NA,NA,NA,NA,20740.132582817216,NA,1.813,97.3598327636719,95.3590561720825,98.0125082381901,NA
ABW,2002,NA,NA,NA,NA,21307.24825052669,NA,1.8,98.0552368164062,95.484576134085,98.051912689473,NA
ABW,2003,NA,NA,NA,NA,21949.48599608684,NA,1.808,101.518623352051,95.6100960960874,98.0913171407559,NA
ABW,2004,NA,NA,NA,NA,23700.63198991973,NA,1.819,99.1840209960938,95.7356160580899,98.1307215920388,NA
ABW,2005,NA,NA,NA,NA,24171.83713254216,NA,1.844,98.7961730957031,95.8611360200924,98.1701260433217,NA
ABW,2006,NA,NA,NA,NA,24845.658483619995,NA,1.862,99.4164505004883,95.9866559820949,98.2095304946046,NA
ABW,2007,NA,NA,NA,NA,26736.308944404624,NA,1.881,108.058410644531,96.1121759440973,98.2489349458875,NA
ABW,2008,NA,NA,NA,NA,28171.909400850072,NA,1.889,101.330078125,96.2376959060998,98.2883393971704,NA
ABW,2009,NA,NA,NA,NA,25134.7712303589,NA,1.875,100.589973449707,96.3632158681023,98.3277438484533,NA
ABW,2010,NA,NA,NA,NA,24093.140151062573,NA,1.855,97.9808731079102,96.4887358301048,98.3671482997362,NA
ABW,2011,NA,NA,NA,NA,25712.3843015186,NA,1.858,97.4022598266602,96.6142557921072,98.4065527510191,NA
ABW,2012,NA,NA,NA,NA,25119.665544983844,NA,1.907,108.883651733398,96.7397757541097,98.445957202302,NA
ABW,2013,NA,NA,NA,NA,25813.571440843843,NA,1.944,NA,96.7397757541097,98.4853616535849,NA
ABW,2014,NA,NA,NA,NA,26129.839061769275,NA,1.944,NA,96.7397757541097,98.5247661048679,NA
ABW,2015,NA,NA,NA,NA,27458.220153750623,NA,1.899,NA,96.7397757541097,98.5641705561508,NA
ABW,2016,NA,NA,NA,NA,27441.55021446005,NA,1.848,NA,96.7397757541097,98.6035750074337,NA
ABW,2017,NA,NA,NA,NA,28440.04168814911,NA,1.785,NA,NA,98.6429794587166,NA
ABW,2018,NA,NA,NA,NA,30082.158422679753,NA,1.732,143.72492980957,NA,98.6823839099995,NA
ABW,2019,NA,NA,NA,NA,30645.89060245485,NA,1.701,141.99267578125,NA,98.7217883612824,NA
ABW,2020,NA,NA,NA,NA,22759.807175072245,NA,1.662,142.045455932617,NA,98.7611928125653,NA
ABW,2021,NA,NA,NA,NA,26749.329609311764,NA,1.631,135.442672729492,NA,98.8005972638482,NA
ABW,2022,NA,NA,NA,NA,30975.9989121779,NA,1.615,140.441833496094,NA,98.8400017151311,NA
ABW,2023,NA,NA,NA,NA,35718.75311916344,NA,1.602,NA,NA,98.8400017151311,NA
ABW,2024,NA,NA,NA,NA,39498.59412937967,NA,1.606,128.74852420307,NA,98.8400017151311,NA
AFE,2000,138.90554204727565,NA,NA,NA,706.7272609670093,42.76497362237393,5.549893018950133,25.5485401153564,41.72415321010996,21.96219090808459,NA
AFE,2001,135.62599409686297,NA,NA,NA,625.8278154411498,37.84518362660127,5.501766093659847,26.3633804321289,42.36124569735636,22.28366785083865,NA
AFE,2002,127.20582541952668,NA,NA,NA,630.5123276484624,35.026466820076905,5.4496957712057466,26.9570503234863,43.03518769372872,22.624437073019585,NA
AFE,2003,121.1626078640684,NA,NA,NA,815.4322962677348,50.30851499810155,5.407327920135451,27.4211807250977,43.76450450373818,22.99664987289474,NA
AFE,2004,116.02911919795731,NA,NA,NA,989.015463629244,61.88460717514852,5.38130825995291,28.4966602325439,44.50987268288665,23.376233922093167,NA
AFE,2005,106.32460818128544,NA,NA,NA,1126.297323391195,68.72590307017435,5.350398519320968,29.3665599822998,45.34258123297924,23.923052850615075,NA
AFE,2006,99.9110205751859,NA,NA,NA,1235.2666081177138,75.1738953911871,5.305920472429557,30.7157497406006,46.18328321983133,24.468060928214037,NA
AFE,2007,94.69534900648324,NA,NA,NA,1381.5525968928991,84.20363956576713,5.253984801032769,31.8105907440186,46.995485637426725,25.006677364971974,NA
AFE,2008,89.60620415092176,NA,NA,NA,1447.5457543755217,86.60613295014304,5.219403495337566,33.3657188415527,47.897006689112885,25.60242269147635,NA
AFE,2009,85.09217904281662,NA,NA,NA,1408.7534665942826,90.30513198426314,5.142535441797308,34.5432586669922,48.80876562119863,26.21177024053323,NA
AFE,2010,81.92932176582416,NA,NA,NA,1628.9052479313923,104.3537236539824,5.066491306948193,35.623420715332,49.72175870541097,26.823786768524705,0.16446678002695464
AFE,2011,83.5500388786075,NA,NA,NA,1761.9892609615918,112.50023556963257,4.98101022132388,36.5236701965332,50.44107805500349,27.045864238517687,NA
AFE,2012,75.18098551139813,NA,NA,NA,1732.0380214533525,109.276549861823,4.899627175279481,37.6529693603516,51.332652237177896,27.65105049337135,NA
AFE,2013,71.37188339658589,NA,NA,NA,1706.0227441262118,104.979280345368,4.819579317433963,38.6157493591309,52.23087212492248,28.27323798568676,NA
AFE,2014,70.80755440594487,NA,NA,NA,1690.1667924594424,98.49273540145502,4.748087976693783,39.738208770752,53.13897478949433,28.9150756451662,NA
AFE,2015,69.72576411133967,NA,NA,NA,1498.8752400758965,90.7980923306796,4.676522670895813,39.6892509460449,54.0095159166252,29.58062997924282,NA
AFE,2016,68.36302856444922,NA,NA,NA,1334.4705003292756,85.68745981263922,4.615756407082289,40.2670402526855,54.842433680594205,30.20729871132315,NA
AFE,2017,67.73779962236081,NA,NA,NA,1528.1042242128397,89.86726048997079,4.5699152535805565,40.8391418457031,55.69434757454056,30.933487688586855,NA
AFE,2018,63.42294710712327,NA,NA,NA,1552.0737219491923,89.96936937361289,4.521453514694671,41.1385498046875,56.56936034662539,31.60821933508394,NA
AFE,2019,61.491635749926054,NA,NA,NA,1507.085599634839,87.03987731567592,4.471350936409921,41.6500816345215,57.4022346532126,32.2445544986626,NA
AFE,2020,60.62281056031255,NA,NA,NA,1351.5916691087857,81.44614015948075,4.412998740220405,42.3275299072266,58.229480695385426,32.879994032804866,NA
AFE,2021,63.105475457299534,NA,NA,NA,1562.416174777377,92.3503331753643,4.350690764908697,42.7693405151367,59.058826557690736,33.57106633781098,NA
AFE,2022,63.20678831455255,NA,NA,NA,1679.3276216646611,92.0352883967091,4.287079891512355,42.9131698608398,59.88626666503041,34.27916961205134,0.24338494643989383
AFE,2023,59.37564887098708,NA,NA,NA,1571.449189189805,88.48558529144995,4.2238605772753335,NA,60.76144532934317,34.07951394853839,NA
AFE,2024,57.246882477874465,NA,NA,NA,1615.3963556284916,NA,4.1640437912511095,NA,61.63617120285655,34.66345163295131,NA
AFG,2000,131.7,24,27,24,174.9309914301663,NA,7.566,NA,29.7309664339367,22.298273284655,NA
