iso3,year,u5mr,dtp3,mcv1,pol3,gdp_pc,health_exp_pc,fertility,basic_water,basic_sanitation,log_gdp_pc,log_health_exp_pc
AGO,2000,185,31,41,21,563.733795571487,13.15998554,6.639,37.8422368865436,33.8004076625916,6.334582146406409,2.577180827112373
AGO,2001,176.3,42,72,28,533.5862024124473,29.26095772,6.601,38.3388157469695,34.2558546036306,6.279620636719215,3.376254126430208
AGO,2002,166.4,47,74,22,999.065855913758,29.37077141,6.567,38.8353924997189,34.7112995930867,6.906820698311399,3.3800000101022394
AGO,2003,155.5,46,62,21,1133.663319606071,35.2206955,6.533,40.3965157225134,35.7566857674784,7.033209543914325,3.5616338501757534
AGO,2004,143.7,47,64,18,1451.471178724934,50.23310852,6.499,41.9772367862102,36.8026608112345,7.28033292706702,3.9166743415727727
AGO,2005,131.5,47,45,14,2145.8862109632746,54.66142273,6.461,43.5743439976406,37.8465318357126,7.671307898002575,4.0011582088841955
AGO,2006,119.8,44,48,8,2930.444286073203,70.28185272,6.419,45.0139996038983,38.7338819151989,7.982909323988003,4.2525136249520745
AGO,2007,109,43,58,43,3515.0567898653467,93.42698669,6.372,46.4686546771725,39.6205689404056,8.164810960548206,4.537180240224389
AGO,2008,99.2,45,58,44,4578.155264515174,136.34094238,6.32,47.9390179800655,40.5073529931406,8.429051415296765,4.915158677895495
AGO,2009,90.7,47,58,44,3645.1484656297575,120.5289917,6.26,49.4231763682417,41.3926874563562,8.20115237492458,4.791890319013116
AGO,2010,83.4,49,59,45,4101.637155667117,96.95197296,6.194,50.922281472487,42.2777189153195,8.319141479251144,4.574215731765248
AGO,2011,77.2,50,59,45,5184.152691499118,122.11888123,6.12,52.4357414255652,43.1620627220945,8.553361691977027,4.804995006589862
AGO,2012,72,52,59,47,5702.453062774339,121.84848022,6.039,53.962934811933,44.0453181222275,8.648651723133758,4.802778307445218
AGO,2013,67.9,54,59,46,5688.57916215215,142.78450012,5.953,55.5032279600653,44.9270819739207,8.6462157880563,4.961336501437281
AGO,2014,64.5,55,56,55,5649.687624691393,130.5861969,5.864,57.0569115656449,45.8077399649675,8.639355534946827,4.872033521363958
AGO,2015,61.8,57,52,57,3641.72893919944,107.52857208,5.774,58.6196312007677,46.6837650963553,8.200213831158477,4.677756599043364
AGO,2016,59.6,59,49,56,2051.81462126253,94.01481628,5.686,60.1920620185519,47.555908833618,7.626479861694373,4.543452389849277
AGO,2017,57.9,58,47,52,2790.718868697683,112.75364685,5.6,61.7735122104541,48.4237656848917,7.934054500658451,4.725205322427341
AGO,2018,56.5,67,56,64,2860.093648368199,83.87555695,5.519,63.3627907388021,49.2865229934191,7.958609647462504,4.42933423550825
AGO,2019,55.3,64,59,61,2493.678844401766,64.4466095,5.442,64.1599110373067,49.5470237290202,7.821514346657857,4.165837121329578
AGO,2020,54.2,59,54,59,1759.356199182642,56.01641846,5.371,64.9440305436538,49.8016376564917,7.472703225193597,4.025644834550016
AGO,2021,53.2,55,48,53,2303.908126627765,66.94487,5.304,65.716257719435,50.0511353702384,7.742362145425141,4.203869444854859
AGO,2022,51.9,54,50,54,3682.113151369797,103.94506073,5.209,66.47632731978,50.2951359158799,8.211242092274068,4.643862497350193
BDI,2000,152.4,80,72,72,134.53786175238898,5.67927122,6.872,49.9050035081871,45.8832028889367,4.90184565944596,1.7368229181630694
BDI,2001,147.5,81,73,73,132.15955454193212,7.50815582,6.849,50.6076370665848,45.9762261657477,4.884009939170227,2.0159898723714504
BDI,2002,142.3,81,75,74,120.95230857546832,6.46998882,6.819,51.3135864667635,46.0714530473161,4.795396323897183,1.867174380536046
BDI,2003,136.6,82,76,75,111.4066828043908,5.87316799,6.785,52.0224447392286,46.1690271798233,4.7131873149613215,1.7703941799113123
BDI,2004,130.4,83,78,76,125.19496518453332,8.88248062,6.746,52.7341459347256,46.0744530371063,4.829872243676342,2.1840808670924834
BDI,2005,123.7,87,87,82,147.23461929422513,11.13118172,6.708,53.4486364755219,45.9780778470214,4.992027364065745,2.409750333955045
BDI,2006,116.6,92,92,88,161.89275564031908,14.10514736,6.659,54.1661932522389,45.8797490696037,5.086934113791907,2.646539791758479
BDI,2007,109.5,99,88,93,166.16274490675522,15.26294613,6.588,54.8864129509112,45.7793823625363,5.1129676990917075,2.7254280694764517
BDI,2008,102.6,92,84,89,189.50207457076775,14.67025566,6.515,55.6098997229937,45.6767816936833,5.244399972065552,2.685822019405898
BDI,2009,96.1,94,91,96,198.43152404822504,18.31996346,6.409,56.3355825265759,45.5719158266356,5.290444073600978,2.9079913647025104
BDI,2010,90.2,96,92,94,216.72770530197636,24.45114708,6.26,57.0647160568921,45.4645083129414,5.378641751325205,3.196677130157814
BDI,2011,84.7,96,93,95,230.0697613811321,23.16802216,6.108,57.7968901680733,45.354450786345,5.438382573286658,3.1427729726945612
BDI,2012,79.6,96,93,96,231.09878781150672,20.01195908,5.991,58.5316929409599,45.2416177840798,5.442845271968036,2.996330048850732
BDI,2013,74.9,96,98,96,234.8447701508713,20.26322556,5.889,59.2700188901238,45.125751746761,5.45892474333372,3.0088076944404434
BDI,2014,70.6,95,94,95,250.54449215518548,18.06601143,5.794,60.0108002103421,45.0067757440714,5.523636518147482,2.8940323514076245
BDI,2015,66.9,94,93,94,254.4025852267877,17.67629051,5.695,60.754598685409,44.8844503584829,5.538917993469317,2.872224222412911
BDI,2016,63.7,94,93,94,232.9378121001527,18.59472847,5.587,61.5013152508053,44.7585847024572,5.450771517083614,2.922878124957969
BDI,2017,60.9,91,90,91,246.06072571418372,19.16676521,5.481,62.2508547109649,44.6289841238283,5.50557835796598,2.9531778005132825
BDI,2018,58.5,90,88,90,245.6616783320092,18.67819214,5.38,63.0031105309043,44.4954380894811,5.503955298017958,2.9273566476032418
BDI,2019,56.2,93,92,93,234.31061590724977,22.2435379,5.271,63.7579908768374,44.3577388229315,5.4566476535238175,3.1020515349681905
BDI,2020,54.3,93,90,93,255.8324539388995,26.21934319,5.177,64.4028716190814,44.4548070620661,5.544522753414955,3.266497428059937
BDI,2021,52.3,94,90,94,264.98037926965486,23.11420059,5.078,65.0493033882129,44.5545225988873,5.579655782753221,3.140447172805807
BDI,2022,50.3,91,89,91,302.99250526355235,25.52155113,4.98,65.6975597350143,44.6569603684061,5.713708070099663,3.2395232375856144
BDI,2023,48.7,89,86,89,250.62725309725457,28.14028931,4.878,65.8069881708757,44.6456125902738,5.523966787934658,3.3372023327279203
BEN,2000,135,78,70,78,487.4241413842425,14.42371464,5.937,61.053428974703,8.52812393636387,6.189134670912873,2.6688737020114726
BEN,2001,131.7,76,68,77,492.401499509072,16.26979828,5.848,61.4110451186381,8.93975126867492,6.199294439612469,2.789310522875046
BEN,2002,128.5,75,66,76,546.4638296581587,16.9179287,5.793,61.7826864714812,9.37391256843619,6.303468119988287,2.82837392942679
BEN,2003,125.4,73,65,75,676.0028780842815,21.06955719,5.763,62.177768242791,9.83877331929082,6.516197333555027,3.0478292114585686
BEN,2004,122.5,72,63,74,758.6958037863709,24.52665329,5.718,62.5694755970266,10.3155921363995,6.631600911534442,3.1997604156156
BEN,2005,119.7,70,61,73,779.4377777532677,25.12485313,5.692,62.9572986699117,10.8039533008181,6.65857286203182,3.2238575207900153
BEN,2006,117,74,66,76,809.1470725062209,26.60264206,5.673,63.3414202893598,11.3039620341641,6.695980695969846,3.281010536419106
BEN,2007,114.4,82,70,82,912.3382471883424,26.79680061,5.627,63.722003378885,11.8157291558234,6.8160108063884,3.2882825001665443
BEN,2008,112,75,66,77,1060.6025450209872,28.12486076,5.548,64.0987736405784,12.3390077692944,6.966592464305079,3.3366539097567736
BEN,2009,109.7,79,71,80,1024.1027785811184,29.69425583,5.491,64.471280030876,12.8733600744969,6.931572170270875,3.3909536207059183
BEN,2010,107.4,76,68,77,973.2442549315264,29.37720871,5.452,64.8398943690565,13.4190757934874,6.880635083500141,3.3802191597653466
BEN,2011,105.1,75,70,77,1059.413588525885,31.76816368,5.436,65.2045676976255,13.9760843860142,6.965470815652561,3.4584646461702477
BEN,2012,102.9,80,74,80,1071.5258366282956,32.95616913,5.429,65.5652472683148,14.5443123134086,6.9768389272018325,3.495178470434349
BEN,2013,100.6,77,68,73,1168.926992792259,33.53426743,5.41,65.9215151449037,15.1233051054282,7.063841506820585,3.512567824374972
BEN,2014,98.4,74,65,71,1204.39918670094,32.41182327,5.374,66.2745990254867,15.7143302277075,7.0937361213341354,3.4785232719734687
BEN,2015,96.1,74,67,72,1002.4188687961384,27.34733391,5.32,66.6240261475915,16.3169481534553,6.910171227024148,3.3086190436777065
BEN,2016,94,78,68,73,1010.533896199298,36.58565903,5.254,66.9697053582587,16.9310972411709,6.918234080268519,3.5996563338405525
BEN,2017,91.8,76,65,72,1054.9740806681434,38.75862122,5.155,67.3115299235489,17.5567124078682,6.961271477521299,3.657353214150436
BEN,2018,89.4,74,61,70,1151.7409703472013,39.54786301,5.031,67.6494113960798,18.1937303852969,7.049029963843641,3.677511660136908
BEN,2019,87,72,58,69,1130.8213533979497,33.9457283,4.9,67.9832516982572,18.8420840944928,7.0306995090846804,3.5247630228187794
BEN,2020,84.6,70,54,67,1200.1942655778937,36.62052536,4.795,68.3129505616936,19.501704357901,7.090238710655225,3.600608885402333
BEN,2021,82.2,70,53,68,1318.6515807519838,38.45053101,4.707,68.6381245479094,20.1721169387367,7.184364963729971,3.6493725062594113
BEN,2022,79.6,69,52,69,1266.4271103190442,37.76291275,4.634,68.9589815769274,20.853650768615,7.143954915727942,3.631327476808634
BEN,2023,77.2,69,52,69,1394.1778472183137,46.52822113,4.556,69.2752913846942,21.5460291941212,7.240060163683712,3.8400590345218375
BFA,2000,176,45,48,45,248.90852692175216,10.00902748,6.519,55.6390919539438,8.8416258208353,5.517085467210815,2.303487433762137
BFA,2001,171.9,62,63,62,259.48522338043597,10.27519512,6.431,55.8329037014079,9.13087025476494,5.558699758327369,2.3297327499830165
BFA,2002,167.3,69,64,69,285.65408763753277,11.93992615,6.339,55.6114304370044,10.0598427351821,5.654781595019188,2.479887922853201
BFA,2003,162.3,79,76,83,362.3738999969534,16.02656555,6.28,55.3903115715643,11.0080883489168,5.892676551699312,2.774247692262733
BFA,2004,156.8,79,78,83,403.8128374346103,21.12279129,6.216,55.1712862578843,11.9759949734472,6.000951496940038,3.050352613457527
BFA,2005,150.8,82,84,94,441.16414801601206,21.34285545,6.182,54.9540483069105,12.9610876994314,6.089417023914398,3.060717044326131
BFA,2006,144.4,86,88,94,455.5136556200242,23.55202866,6.17,54.7404102452083,13.9636797865369,6.121425695657938,3.1592119594275188
