dataset,rows,countries,min_year,max_year,missing_iso3,duplicate_keys,missing_values,pct_missing
dtp3,4850,194,2000,2024,0,0,19,0.4
mcv1,4850,194,2000,2024,0,0,19,0.4
pol3,4850,194,2000,2024,0,0,19,0.4
