iso3,year,physicians_per_1000
ATG,2005,NA
ATG,2006,NA
ATG,2007,1.763
ATG,2008,0.543
ATG,2009,NA
ATG,2010,NA
ATG,2011,NA
ATG,2012,NA
ATG,2013,NA
ATG,2014,NA
ATG,2015,NA
ATG,2016,NA
ATG,2017,2.917
ATG,2018,NA
ATG,2019,NA
ATG,2020,NA
ATG,2021,NA
ATG,2022,NA
ATG,2023,NA
ATG,2024,NA
AUS,2000,2.476
AUS,2001,2.551
AUS,2002,2.546
AUS,2003,2.615
AUS,2004,2.692
AUS,2005,2.764
AUS,2006,2.825
AUS,2007,2.99
AUS,2008,3
AUS,2009,3.104
AUS,2010,3.345
AUS,2011,3.296
AUS,2012,3.293
AUS,2013,3.356
AUS,2014,3.432
AUS,2015,3.486
AUS,2016,3.557
AUS,2017,3.656
AUS,2018,3.726
AUS,2019,3.808
AUS,2020,3.895
AUS,2021,3.976
AUS,2022,4.086
AUS,2023,NA
AUS,2024,NA
AUT,2000,3.876
AUT,2001,3.989
AUT,2002,4.06
AUT,2003,4.144
AUT,2004,4.232
AUT,2005,4.348
AUT,2006,4.477
AUT,2007,4.562
AUT,2008,4.627
AUT,2009,4.722
AUT,2010,4.827
AUT,2011,4.875
AUT,2012,4.927
AUT,2013,5.018
AUT,2014,5.076
AUT,2015,5.124
AUT,2016,5.129
AUT,2017,5.182
AUT,2018,5.241
AUT,2019,5.318
AUT,2020,5.344
AUT,2021,5.432
AUT,2022,5.432
AUT,2023,5.515
AUT,2024,NA
AZE,2000,3.552
AZE,2001,3.525
AZE,2002,3.541
AZE,2003,3.534
AZE,2004,3.54
AZE,2005,3.557
AZE,2006,3.532
AZE,2007,3.669
AZE,2008,3.635
AZE,2009,3.626
AZE,2010,3.617
AZE,2011,3.397
AZE,2012,3.449
AZE,2013,3.413
AZE,2014,3.401
AZE,2015,3.328
AZE,2016,3.262
AZE,2017,3.197
AZE,2018,3.236
AZE,2019,3.148
AZE,2020,3.125
AZE,2021,3.123
AZE,2022,3.185
AZE,2023,NA
AZE,2024,NA
BDI,2000,0.052
BDI,2001,NA
BDI,2002,NA
BDI,2003,NA
BDI,2004,0.027
BDI,2005,NA
BDI,2006,NA
BDI,2007,NA
BDI,2008,NA
BDI,2009,NA
BDI,2010,0.045
