iso3,year,basic_water
ABW,2000,95.23353621008
ABW,2001,95.3590561720825
ABW,2002,95.484576134085
ABW,2003,95.6100960960874
ABW,2004,95.7356160580899
ABW,2005,95.8611360200924
ABW,2006,95.9866559820949
ABW,2007,96.1121759440973
ABW,2008,96.2376959060998
ABW,2009,96.3632158681023
ABW,2010,96.4887358301048
ABW,2011,96.6142557921072
ABW,2012,96.7397757541097
ABW,2013,96.7397757541097
ABW,2014,96.7397757541097
ABW,2015,96.7397757541097
ABW,2016,96.7397757541097
ABW,2017,NA
ABW,2018,NA
ABW,2019,NA
ABW,2020,NA
ABW,2021,NA
ABW,2022,NA
ABW,2023,NA
ABW,2024,NA
AFE,2000,41.72415321010996
AFE,2001,42.36124569735636
AFE,2002,43.03518769372872
AFE,2003,43.76450450373818
AFE,2004,44.50987268288665
AFE,2005,45.34258123297924
AFE,2006,46.183283219831324
AFE,2007,46.995485637426725
AFE,2008,47.897006689112885
AFE,2009,48.80876562119863
AFE,2010,49.72175870541097
AFE,2011,50.44107805500349
AFE,2012,51.332652237177896
AFE,2013,52.23087212492248
AFE,2014,53.13897478949433
AFE,2015,54.0095159166252
AFE,2016,54.842433680594205
AFE,2017,55.69434757454056
AFE,2018,56.56936034662539
AFE,2019,57.4022346532126
AFE,2020,58.229480695385426
AFE,2021,59.058826557690736
AFE,2022,59.88626666503041
AFE,2023,60.76144532934317
AFE,2024,61.63617120285655
AFG,2000,29.7309664339367
AFG,2001,29.7629255070812
AFG,2002,31.8360773279001
AFG,2003,33.9086290770251
AFG,2004,35.9993546342258
AFG,2005,38.1080542246859
AFG,2006,40.2157630407476
AFG,2007,42.4294955631251
AFG,2008,44.6537922388598
AFG,2009,46.8885842088645
AFG,2010,49.1337948047642
AFG,2011,51.3896718184372
AFG,2012,53.6558094830286
AFG,2013,55.9321352223542
AFG,2014,58.2185747849882
AFG,2015,60.5153476686209
AFG,2016,62.8220704134542
AFG,2017,65.142136058033
AFG,2018,67.4758694595857
AFG,2019,69.8226976480641
AFG,2020,72.1820710205908
AFG,2021,74.5545259961346
AFG,2022,76.9392075646596
AFG,2023,78.926564391722
AFG,2024,80.8324374493852
AFW,2000,50.4016779043292
AFW,2001,51.35091750820859
AFW,2002,52.44338367862464
AFW,2003,53.5375191632245
AFW,2004,54.6354222041199
AFW,2005,55.737383732205494
AFW,2006,56.84257608800161
AFW,2007,57.945309763216166
AFW,2008,59.043764505802756
AFW,2009,60.143910466588814
AFW,2010,61.245928602485186
AFW,2011,62.35589495739997
AFW,2012,63.46462942945527
AFW,2013,64.5702422810871
AFW,2014,65.67900077122492
AFW,2015,66.7877641122912
AFW,2016,67.88859531048814
AFW,2017,68.98514479823197
AFW,2018,70.08631739838314
AFW,2019,71.16991536655894
AFW,2020,72.24889250637789
AFW,2021,73.32163540271459
AFW,2022,74.39508006000625
AFW,2023,75.46049783112908
AFW,2024,76.32686580602021
AGO,2000,37.8422368865436
AGO,2001,38.3388157469695
AGO,2002,38.8353924997189
AGO,2003,40.3965157225134
AGO,2004,41.9772367862102
AGO,2005,43.5743439976406
AGO,2006,45.0139996038983
AGO,2007,46.4686546771725
AGO,2008,47.9390179800655
AGO,2009,49.4231763682417
AGO,2010,50.922281472487
AGO,2011,52.4357414255652
AGO,2012,53.962934811933
AGO,2013,55.5032279600653
AGO,2014,57.0569115656449
AGO,2015,58.6196312007677
AGO,2016,60.1920620185519
AGO,2017,61.7735122104541
AGO,2018,63.3627907388021
AGO,2019,64.1599110373067
AGO,2020,64.9440305436538
AGO,2021,65.716257719435
AGO,2022,66.47632731978
AGO,2023,67.2244252588497
AGO,2024,67.9607422242112
ALB,2000,86.3970424808695
ALB,2001,86.9040698997327
ALB,2002,87.4516361586881
ALB,2003,87.9871911194175
ALB,2004,88.5105821172325
ALB,2005,89.0211900611453
ALB,2006,89.519134788664
ALB,2007,90.0041896316486
ALB,2008,90.4761525015769
ALB,2009,90.9344131913267
ALB,2010,91.3794795002437
ALB,2011,91.8108839327421
ALB,2012,92.2287796980299
ALB,2013,92.6315947140716
ALB,2014,93.0200532320908
ALB,2015,93.3943279564504
ALB,2016,93.7548764271568
ALB,2017,94.1020950646956
ALB,2018,94.4363940024548
ALB,2019,94.758223221518
ALB,2020,95.0680381522002
ALB,2021,95.0815150513051
ALB,2022,95.0945651327655
ALB,2023,95.107207538325
ALB,2024,95.1194270680062
AND,2000,99.9999977350507
AND,2001,99.9999981868428
AND,2002,100
AND,2003,100
AND,2004,99.999995252479
AND,2005,100
AND,2006,100
AND,2007,100
AND,2008,100
AND,2009,99.9999971715362
