iso3,year,dtp3
AFG,2000,24
AFG,2001,33
AFG,2002,36
AFG,2003,41
AFG,2004,50
AFG,2005,58
AFG,2006,58
AFG,2007,63
AFG,2008,64
AFG,2009,63
AFG,2010,66
AFG,2011,68
AFG,2012,67
AFG,2013,64
AFG,2014,62
AFG,2015,64
AFG,2016,66
AFG,2017,64
AFG,2018,68
AFG,2019,65
AFG,2020,61
AFG,2021,55
AFG,2022,58
AFG,2023,60
AFG,2024,59
AGO,2000,31
AGO,2001,42
AGO,2002,47
AGO,2003,46
AGO,2004,47
AGO,2005,47
AGO,2006,44
AGO,2007,43
AGO,2008,45
AGO,2009,47
AGO,2010,49
AGO,2011,50
AGO,2012,52
AGO,2013,54
AGO,2014,55
AGO,2015,57
AGO,2016,59
AGO,2017,58
AGO,2018,67
AGO,2019,64
AGO,2020,59
AGO,2021,55
AGO,2022,54
AGO,2023,66
AGO,2024,64
ALB,2000,97
ALB,2001,97
ALB,2002,98
ALB,2003,97
ALB,2004,97
ALB,2005,98
ALB,2006,97
ALB,2007,98
ALB,2008,99
ALB,2009,98
ALB,2010,99
ALB,2011,99
ALB,2012,99
ALB,2013,99
ALB,2014,99
ALB,2015,99
ALB,2016,99
ALB,2017,99
ALB,2018,99
ALB,2019,99
ALB,2020,98
ALB,2021,98
ALB,2022,97
ALB,2023,97
ALB,2024,97
AND,2000,98
AND,2001,96
AND,2002,97
AND,2003,99
AND,2004,99
AND,2005,98
AND,2006,93
AND,2007,96
AND,2008,99
AND,2009,99
AND,2010,99
AND,2011,99
AND,2012,99
AND,2013,96
AND,2014,97
AND,2015,97
AND,2016,98
AND,2017,99
AND,2018,99
AND,2019,99
AND,2020,99
AND,2021,99
AND,2022,98
AND,2023,98
AND,2024,98
ARE,2000,94
ARE,2001,94
ARE,2002,94
ARE,2003,94
ARE,2004,94
ARE,2005,94
ARE,2006,92
ARE,2007,92
ARE,2008,92
ARE,2009,93
ARE,2010,94
ARE,2011,95
ARE,2012,96
ARE,2013,98
ARE,2014,99
ARE,2015,99
ARE,2016,99
ARE,2017,97
ARE,2018,99
ARE,2019,99
ARE,2020,90
ARE,2021,96
ARE,2022,96
ARE,2023,96
ARE,2024,96
ARG,2000,83
ARG,2001,83
ARG,2002,93
ARG,2003,96
ARG,2004,98
ARG,2005,98
ARG,2006,91
ARG,2007,91
ARG,2008,93
ARG,2009,94
ARG,2010,94
ARG,2011,91
ARG,2012,91
ARG,2013,94
ARG,2014,94
ARG,2015,94
ARG,2016,92
ARG,2017,88
ARG,2018,86
ARG,2019,83
ARG,2020,74
ARG,2021,81
ARG,2022,84
ARG,2023,66
ARG,2024,75
ARM,2000,93
ARM,2001,94
ARM,2002,94
ARM,2003,94
ARM,2004,91
ARM,2005,90
ARM,2006,87
ARM,2007,88
ARM,2008,89
ARM,2009,93
ARM,2010,94
ARM,2011,95
ARM,2012,95
ARM,2013,95
ARM,2014,93
ARM,2015,94
ARM,2016,94
ARM,2017,94
ARM,2018,92
ARM,2019,92
ARM,2020,91
ARM,2021,93
ARM,2022,93
ARM,2023,94
ARM,2024,94
ATG,2000,95
ATG,2001,97
ATG,2002,98
ATG,2003,99
ATG,2004,97
ATG,2005,99
ATG,2006,99
ATG,2007,99
ATG,2008,99
ATG,2009,99
ATG,2010,98
ATG,2011,99
ATG,2012,98
ATG,2013,99
ATG,2014,99
ATG,2015,99
ATG,2016,92
ATG,2017,95
ATG,2018,95
ATG,2019,99
ATG,2020,96
ATG,2021,92
ATG,2022,99
ATG,2023,97
ATG,2024,99
AUS,2000,90
AUS,2001,92
AUS,2002,92
AUS,2003,93
AUS,2004,92
AUS,2005,92
AUS,2006,92
AUS,2007,92
AUS,2008,92
AUS,2009,92
AUS,2010,92
AUS,2011,92
AUS,2012,92
AUS,2013,91
AUS,2014,92
AUS,2015,93
AUS,2016,94
AUS,2017,95
AUS,2018,95
AUS,2019,95
AUS,2020,95
AUS,2021,95
AUS,2022,94
AUS,2023,94
AUS,2024,93
AUT,2000,81
AUT,2001,84
AUT,2002,83
AUT,2003,84
AUT,2004,83
AUT,2005,86
AUT,2006,83
AUT,2007,85
AUT,2008,83
AUT,2009,83
AUT,2010,86
AUT,2011,89
AUT,2012,92
AUT,2013,95
AUT,2014,98
AUT,2015,93
AUT,2016,87
AUT,2017,90
AUT,2018,85
AUT,2019,88
AUT,2020,85
AUT,2021,86
AUT,2022,84
AUT,2023,87
AUT,2024,85
AZE,2000,76
AZE,2001,77
AZE,2002,76
AZE,2003,77
AZE,2004,77
AZE,2005,75
AZE,2006,78
AZE,2007,79
AZE,2008,81
AZE,2009,81
AZE,2010,81
AZE,2011,82
AZE,2012,79
AZE,2013,78
AZE,2014,78
AZE,2015,79
AZE,2016,78
AZE,2017,76
AZE,2018,74
AZE,2019,74
AZE,2020,56
AZE,2021,49
AZE,2022,51
AZE,2023,51
AZE,2024,51
BDI,2000,80
BDI,2001,81
BDI,2002,81
BDI,2003,82
BDI,2004,83
BDI,2005,87
BDI,2006,92
BDI,2007,99
BDI,2008,92
BDI,2009,94
BDI,2010,96
BDI,2011,96
BDI,2012,96
BDI,2013,96
BDI,2014,95
BDI,2015,94
BDI,2016,94
BDI,2017,91
BDI,2018,90
BDI,2019,93
BDI,2020,93
BDI,2021,94
BDI,2022,91
BDI,2023,89
BDI,2024,89
BEL,2000,95
BEL,2001,95
BEL,2002,95
BEL,2003,95
BEL,2004,95
BEL,2005,97
BEL,2006,98
BEL,2007,98
BEL,2008,99
BEL,2009,98
BEL,2010,98
BEL,2011,98
BEL,2012,99
BEL,2013,99
BEL,2014,99
BEL,2015,99
BEL,2016,98
BEL,2017,98
BEL,2018,98
BEL,2019,97
BEL,2020,98
BEL,2021,98
BEL,2022,98
BEL,2023,98
BEL,2024,97
BEN,2000,78
BEN,2001,76
BEN,2002,75
BEN,2003,73
BEN,2004,72
BEN,2005,70
BEN,2006,74
BEN,2007,82
BEN,2008,75
BEN,2009,79
BEN,2010,76
BEN,2011,75
BEN,2012,80
BEN,2013,77
BEN,2014,74
BEN,2015,74
BEN,2016,78
BEN,2017,76
BEN,2018,74
BEN,2019,72
