term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
(Intercept),177.87047582607715,51.06466388026797,3.483239921898488,0.001082349228380666,75.14162267814906,280.59932897400523,DTP3 adjusted
dtp3,-0.9685085613057758,0.16510701208434397,-5.865944450687647,4.291914256269622e-7,-1.3006610266167205,-0.6363560959948311,DTP3 adjusted
log_gdp_pc,-16.54014841843339,6.066574430556012,-2.72643954306804,0.008969122523744221,-28.744521979940004,-4.335774856926777,DTP3 adjusted
log_health_exp_pc,10.328674338531831,6.061255152041386,1.7040487620873723,0.0949757571026755,-1.8649982148830944,22.522346891946757,DTP3 adjusted
fertility,13.402966029203178,3.933072997975052,3.4077592854502607,0.001352036646723512,5.490643735720178,21.31528832268618,DTP3 adjusted
basic_water,-0.06231237612692464,0.2768558136147147,-0.2250715826167964,0.8228993278063893,-0.6192744328372629,0.49464968058341363,DTP3 adjusted
basic_sanitation,-0.0634434030214468,0.1330410089303925,-0.4768710304552831,0.6356638131499037,-0.3310873906742009,0.2042005846313073,DTP3 adjusted
(Intercept),153.4809929775995,50.93187428615571,3.0134566050972653,0.004152471415757575,51.01927803594877,255.9427079192502,MCV1 adjusted
mcv1,-0.8285796204584586,0.17551725744657856,-4.7207871893204,2.147695206237163e-5,-1.181674798122478,-0.4754844427944391,MCV1 adjusted
log_gdp_pc,-14.545761411079795,6.144751249114505,-2.367184743756051,0.022093363270451322,-26.907406445715026,-2.184116376444562,MCV1 adjusted
log_health_exp_pc,9.335302901141166,6.219829457702393,1.5008937085213312,0.14007169723144516,-3.1773800074085745,21.847985809690904,MCV1 adjusted
fertility,14.892244705535482,3.8966854920899587,3.821772307712762,3.884027893381437e-4,7.053124631835105,22.73136477923586,MCV1 adjusted
basic_water,-0.18228597508103128,0.2852266625310988,-0.639091638430388,0.5258659208090174,-0.7560880076907704,0.3915160575287079,MCV1 adjusted
basic_sanitation,-0.004568208730701073,0.14357638396465774,-0.031817271089830255,0.9747525071449448,-0.2934066371672237,0.28427021970582156,MCV1 adjusted
(Intercept),168.69189298860005,47.30280579057058,3.566213254568239,8.453014538558982e-4,73.53092216661825,263.8528638105818,Pol3 adjusted
pol3,-0.8883753388373625,0.16305017492501783,-5.448478293543084,1.8199623082747406e-6,-1.216389981504746,-0.560360696169979,Pol3 adjusted
log_gdp_pc,-15.609251203071082,6.654013623322767,-2.34583998270752,0.023254630411379294,-28.995399988019283,-2.223102418122881,Pol3 adjusted
log_health_exp_pc,9.157441434342445,6.359161975892164,1.4400390285793427,0.15648457057266688,-3.6355423459296468,21.950425214614537,Pol3 adjusted
fertility,13.895362415895086,3.6409733164376084,3.8163867758005297,3.949153339956858e-4,6.570668885808524,21.22005594598165,Pol3 adjusted
basic_water,-0.0910109565718118,0.27485453960712475,-0.33112408003848964,0.7420225973284974,-0.6439469692820071,0.4619250561383835,Pol3 adjusted
basic_sanitation,-0.059125508266941296,0.14611038074828178,-0.40466329609257823,0.6875608376489464,-0.3530616806947413,0.23481066416085872,Pol3 adjusted
dtp3,-0.2828589582773388,0.13946202728880588,-2.0282148752332305,0.04822696789915838,-0.5634203687011157,-0.0022975478535618987,DTP3 FE
log_gdp_pc,6.168335685172906,3.887714522879773,1.586622589923036,0.11930395708773404,-1.652737126319919,13.989408496665732,DTP3 FE
log_health_exp_pc,-5.979650080513153,3.5328079751821893,-1.6926054635632377,0.09715045022505722,-13.086743011414782,1.1274428503884772,DTP3 FE
fertility,17.174448182785195,4.62235418866494,3.715519729081089,5.38206481232308e-4,7.875470992639455,26.473425372930933,DTP3 FE
basic_water,-0.9378594592960865,0.3316672707816826,-2.8277118121595577,0.006868042633164039,-1.6050879450057778,-0.2706309735863951,DTP3 FE
basic_sanitation,0.0846295052195587,0.31277815078106613,0.2705735838907636,0.7879037026431049,-0.5445989725161894,0.7138579829553068,DTP3 FE
mcv1,-0.132917650143167,0.12460117792109035,-1.0667447319586614,0.2915362060424576,-0.3835828878254752,0.11774758753914119,MCV1 FE
log_gdp_pc,6.504645057871727,3.7559552375832217,1.7318217727368754,0.08986477335895572,-1.0513622613299471,14.060652377073401,MCV1 FE
log_health_exp_pc,-6.564802890725917,3.321075873673815,-1.9767096990361293,0.053958408469290065,-13.245945774966007,0.11633999351417312,MCV1 FE
fertility,18.240678080070385,4.522140426542903,4.033638135827433,2.0039127745565195e-4,9.143304975218825,27.338051184921945,MCV1 FE
basic_water,-1.001956893913552,0.3483161823892042,-2.876572908674044,0.006026689438955161,-1.7026786696136003,-0.30123511821350357,MCV1 FE
basic_sanitation,0.157707850858534,0.3155306400998143,0.49981786494219715,0.6195353764952252,-0.4770579211533481,0.7924736228704161,MCV1 FE
pol3,-0.23952548619039962,0.11426605752934237,-2.0962085449468835,0.041474097940607683,-0.4693991434663538,-0.009651828914445465,Pol3 FE
log_gdp_pc,5.910633372117529,3.8832462392191136,1.5220856489662382,0.13468788363569914,-1.9014504121083107,13.722717156343368,Pol3 FE
log_health_exp_pc,-6.147005940455853,3.501748889728367,-1.755410263279238,0.08570526157129801,-13.191616050830634,0.8976041699189281,Pol3 FE
fertility,17.675527516520848,4.6000829753662655,3.842436671506669,3.643617912909025e-4,8.421354228457968,26.929700804583728,Pol3 FE
basic_water,-0.9521121805358411,0.331752197630553,-2.869949882279711,0.006134833496752396,-1.6195115170281085,-0.28471284404357367,Pol3 FE
basic_sanitation,0.09258329379003394,0.3128572308191708,0.2959282531128277,0.7685884768595056,-0.5368042724621965,0.7219708600422644,Pol3 FE
(Intercept),171.6910122892947,56.85459187958266,3.019826659787378,0.004339197473584557,56.87083463075399,286.5111899478354,DTP3 restricted
dtp3,-0.987752035809924,0.17334996132045083,-5.698022822076019,1.1624586953158576e-6,-1.3378393849210022,-0.6376646866988458,DTP3 restricted
log_gdp_pc,-15.552502156305138,7.152735194646803,-2.174343343221321,0.03550449269831585,-29.997743932612323,-1.1072603799979532,DTP3 restricted
log_health_exp_pc,8.831752908481732,8.579376452876819,1.0294166431547933,0.30931875876895026,-8.494649338943002,26.158155155906467,DTP3 restricted
fertility,14.476127998406023,4.1813183030175205,3.462096628223466,0.001266948779905905,6.031784375005735,22.92047162180631,DTP3 restricted
basic_water,0.009583274332041647,0.2911999571850197,0.032909600759153695,0.9739063698847118,-0.5785069697938799,0.5976735184579632,DTP3 restricted
basic_sanitation,-0.19395366757962762,0.17840635093004298,-1.087145533600881,0.2833225572210978,-0.5542526026697912,0.16634526751053597,DTP3 restricted
dtp3,-0.2723666203322174,0.15069920563541825,-1.8073527274665617,0.07804859679056668,-0.5767098403259143,0.03197659966147953,DTP3 restricted FE
log_gdp_pc,6.24222036254623,3.9667104524443335,1.573651628315775,0.12325402691980211,-1.768713914043146,14.253154639135605,DTP3 restricted FE
log_health_exp_pc,-6.310202486964253,3.773082150460128,-1.672426476639191,0.10205569044217493,-13.930096474659532,1.3096915007310255,DTP3 restricted FE
fertility,14.213114132231516,5.6822981606653915,2.5012967870322336,0.016460518702411667,2.7374801905040886,25.68874807395894,DTP3 restricted FE
basic_water,-0.8487935598141868,0.3616807319922259,-2.3468033675413795,0.023847079932520943,-1.5792226162917138,-0.11836450333665993,DTP3 restricted FE
basic_sanitation,0.1490328113345582,0.3326554705587408,0.44800950089363334,0.6565048353090126,-0.5227785405002736,0.8208441631693899,DTP3 restricted FE
(Intercept),179.18062515975657,52.22177271594446,3.4311478879584025,0.0012622846669766417,74.12396928830341,284.2372810312097,DTP3 lagged
dtp3,-0.9886018740799576,0.16800509520471615,-5.884356500470029,4.025751695264006e-7,-1.3265845306163113,-0.6506192175436037,DTP3 lagged
log_gdp_pc,-16.40714343463759,6.09655216769146,-2.691216770289751,0.009829079495492618,-28.67182442444952,-4.142462444825657,DTP3 lagged
log_health_exp_pc,10.287845503651319,6.0816285123183285,1.6916267547110622,0.0973383372930408,-1.946812964033544,22.52250397133618,DTP3 lagged
fertility,12.368842276373535,3.965219030735547,3.119333933510129,0.0030936210647077777,4.391850506430563,20.345834046316504,DTP3 lagged
basic_water,-0.02916434964651593,0.27782929848959403,-0.10497218905661336,0.9168445884781699,-0.5880848053191522,0.5297561060261203,DTP3 lagged
basic_sanitation,-0.07328425912878878,0.1313496989955825,-0.5579324481836342,0.5795385877337476,-0.337525770064412,0.19095725180683443,DTP3 lagged
dtp3,-0.27977110484410267,0.12164118483028137,-2.2999702381594727,0.025936988865261187,-0.5244816045052703,-0.03506060518293508,DTP3 lagged FE
log_gdp_pc,5.467096997040859,3.866551347399298,1.413946565255913,0.16396765034270733,-2.3114009969387217,13.24559499102044,DTP3 lagged FE
log_health_exp_pc,-4.986775993667649,3.5748164317282933,-1.3949740046530794,0.1695814217332666,-12.178379038522333,2.204827051187035,DTP3 lagged FE
fertility,15.170627803572263,4.37225646033126,3.4697479302078436,0.0011264501408912355,6.3747823459071675,23.966473261237358,DTP3 lagged FE
basic_water,-0.9473399878895861,0.33433306340044755,-2.833521693171307,0.006762580441703809,-1.6199313566116487,-0.27474861916752347,DTP3 lagged FE
basic_sanitation,0.07032825519014263,0.3013846832276202,0.23335046239568635,0.8165026290317785,-0.5359795222764726,0.6766360326567579,DTP3 lagged FE
