variable,vif
dtp3,17.817513915261053
pol3,11.563181089933437
log_health_exp_pc,9.031233253608434
mcv1,8.94459580830243
log_gdp_pc,8.268196064193083
fertility,3.652906736785968
basic_water,3.170130666218812
basic_sanitation,2.710279644449376
