term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,antigen
dtp3,-0.9685085613057758,0.16510701208434397,-5.865944450687647,4.291914256269622e-7,-1.3006610266167205,-0.6363560959948311,DTP3,DTP3
mcv1,-0.8285796204584586,0.17551725744657856,-4.7207871893204,2.147695206237163e-5,-1.181674798122478,-0.4754844427944391,MCV1,MCV1
pol3,-0.8883753388373625,0.16305017492501783,-5.448478293543084,1.8199623082747406e-6,-1.216389981504746,-0.560360696169979,Pol3,Pol3
