term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
(Intercept),207.47014184514524,13.98299388163174,14.83731907497156,2.341162417314536e-19,179.33998655023123,235.60029714005924,Unadjusted
dtp3,-1.5847740537623203,0.17013522607292467,-9.31479088923679,3.0069435231075692e-12,-1.9270419808657955,-1.242506126658845,Unadjusted
(Intercept),177.87047582607715,51.06466388026797,3.483239921898488,0.001082349228380666,75.14162267814906,280.59932897400523,Adjusted
dtp3,-0.9685085613057758,0.16510701208434397,-5.865944450687647,4.291914256269622e-7,-1.3006610266167205,-0.6363560959948311,Adjusted
log_gdp_pc,-16.54014841843339,6.066574430556012,-2.72643954306804,0.008969122523744221,-28.744521979940004,-4.335774856926777,Adjusted
log_health_exp_pc,10.328674338531831,6.061255152041386,1.7040487620873723,0.0949757571026755,-1.8649982148830944,22.522346891946757,Adjusted
fertility,13.402966029203178,3.933072997975052,3.4077592854502607,0.001352036646723512,5.490643735720178,21.31528832268618,Adjusted
basic_water,-0.06231237612692464,0.2768558136147147,-0.2250715826167964,0.8228993278063893,-0.6192744328372629,0.49464968058341363,Adjusted
basic_sanitation,-0.0634434030214468,0.1330410089303925,-0.4768710304552831,0.6356638131499037,-0.3310873906742009,0.2042005846313073,Adjusted
(Intercept),170.2513335981896,49.41217597550516,3.4455340255119995,0.0012099291659158986,70.84685731672128,269.6558098796579,Multiple antigens
dtp3,-1.4092609841683377,0.43301264107266946,-3.2545492913954708,0.002108251084478232,-2.2803700571713525,-0.538151911165323,Multiple antigens
mcv1,0.36336212463275963,0.2955127000229161,1.2295990142033897,0.2249672487318933,-0.23113274632501168,0.957856995590531,Multiple antigens
pol3,0.13320990288236167,0.33868380773354984,0.39331642033256253,0.6958643214874012,-0.548134034479483,0.8145538402442063,Multiple antigens
log_gdp_pc,-15.859210421070344,5.9491016946947015,-2.665815989532217,0.0104956033614072,-27.82725932058608,-3.891161521554606,Multiple antigens
log_health_exp_pc,9.807925036078192,5.867989126506481,1.6714286316200724,0.10128324711885318,-1.996946423840635,21.612796495997017,Multiple antigens
fertility,13.55325541789729,3.8437265430550167,3.526071708297199,0.00095300696077687565,5.820675007535056,21.285835828259525,Multiple antigens
basic_water,-0.027401102587432113,0.279411580980558,-0.09806716848053171,0.9222959994739439,-0.5895047000513058,0.5347024948764416,Multiple antigens
basic_sanitation,-0.10164294329937817,0.13755468815361932,-0.7389275106775324,0.4636254062860833,-0.378367282311478,0.17508139571272163,Multiple antigens
dtp3,-0.45682025344017496,0.12830160578709604,-3.560518597079942,8.598389645358776e-4,-0.7149297917786614,-0.19871071510168853,Country FE
log_gdp_pc,-3.126778920509294,3.620142175793026,-0.8637171604522256,0.39212980169262424,-10.409565601013947,4.15600775999536,Country FE
log_health_exp_pc,-10.817965520135424,3.9243071264060143,-2.7566561871121453,0.00828722529885525,-18.71265315464484,-2.9232778856260087,Country FE
fertility,16.513779924138447,3.8342501262092274,4.30691253323762,8.364396779962969e-5,8.800263605469878,24.227296242807014,Country FE
basic_water,-1.037528970423152,0.3284085272176035,-3.1592631872670145,0.0027647899557921626,-1.6982017096811295,-0.37685623116517475,Country FE
basic_sanitation,-0.24107318098280484,0.29653259497939305,-0.8129736327959418,0.4203323995804311,-0.8376198159442695,0.3554734539786598,Country FE
dtp3,-0.2828589582773388,0.13946202728880588,-2.0282148752332305,0.04822696789915838,-0.5634203687011157,-0.0022975478535618987,Country + year FE
log_gdp_pc,6.168335685172906,3.887714522879773,1.586622589923036,0.11930395708773404,-1.652737126319919,13.989408496665732,Country + year FE
log_health_exp_pc,-5.979650080513153,3.5328079751821893,-1.6926054635632377,0.09715045022505722,-13.086743011414782,1.1274428503884772,Country + year FE
fertility,17.174448182785195,4.62235418866494,3.715519729081089,5.38206481232308e-4,7.875470992639455,26.473425372930933,Country + year FE
basic_water,-0.9378594592960865,0.3316672707816826,-2.8277118121595577,0.006868042633164039,-1.6050879450057778,-0.2706309735863951,Country + year FE
basic_sanitation,0.0846295052195587,0.31277815078106613,0.2705735838907636,0.7879037026431049,-0.5445989725161894,0.7138579829553068,Country + year FE
